id,name
1,Ashanti
2,Ahafo
3,Bono East
4,Bono
5,Central
6,Eastern
7,Greater Accra
8,Savannah
9,North East
10,Northern
11,Upper East
12,Upper West
13,Volta
14,Oti
15,Western
16,Western North
